"Symbol";"Value";"Unit";
"ATT_0173_1_02_BAC677_009";"4";"";
"REFERENCE";"1731721";"";
"ATT_0173_1_02_BAF016_008";"15.24";"";
"TraceParts.PartVersion";"1.2.7";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"ATT_0173_1_02_BAA020_012";"23";"";
"ATT_0173_1_02_BAC739_009";"0.2";"";
"ATT_0173_1_02_BAG640_013";"Print mounting";"";
"TraceParts.PartNumber";"10-22122020-100071";"";
"ATT_0173_1_02_AAB940_009";"0.2";"";
"ATT_0173_1_02_AAO663_005";"4017918026400";"";
"DESIGN";"PCB terminal block";"";
"TraceParts.InstanceId";"10-22122020-1000717E5E2N9F1KECFWQNJXR3S78IS";"";
"ATT_0173_1_02_BAB577_010";"11.2";"";
"ATT_0173_1_02_BAC740_009";"0.2";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartTitle";"GMKDS 3/ 2-7,62";"";
"ATT_0173_1_02_AAP798_003";"IEC 60947-7-4";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC140_011";"V0";"";
"ATT_0173_1_02_AAB789_009";"1.5";"";
"ATT_0173_1_02_BAC676_009";"2.5";"";
