"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Mouser","Description"
"C1,C2","2","1000µF","","","","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","EEU-FR1V102,EEU-FR1V102 ","667-EEU-FR1V102 ","Polarized capacitor, US symbol"
"C3,C4","2","2200µF","","","","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","EEU-FR1V222L ","667-EEU-FR1V222L ","Polarized capacitor, US symbol"
"C5,C6","2","100nF","","","","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm","https://content.kemet.com/datasheets/KEM_F3101_R82.pdf","R82DC3100SH50J","80-R82DC3100SH50J","capacitor, US symbol"
"C7,C8","2","100µF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","UPW1V101MPD","647-UPW1V101MPD ","Polarized capacitor, US symbol"
"CX1","1","10nF","","","","Capacitor_THT:C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4","https://www.tdk-electronics.tdk.com/inf/20/20/db/fc_2009/X2_B32921_928.pdf","B32921C3103M","871-B32921C3103M ","Unpolarized capacitor"
"D1,D2","2","RPMS210","","","","Diode_SMD_Bridge:Diode_Bridge_Panjit_M4_RPMS210","https://www.mouser.com/datasheet/3/3736/1/RPMS210.pdf","RPMS210_R2_00601","241-RPMS210_R2_00601","Diode bridge, +ve/-ve/AC/AC"
"D3,D4","2","LED","","","","LED_THT:LED_D3.0mm","https://www.mouser.com/catalog/specsheets/lite-on_lites12747-1.pdf","LTL-4221N ","859-LTL-4221N ","Light emitting diode"
"F1","1","FuseHolder","","","","Fuseholder_Wurth_WR-FSH:J_Wurth_WR-FSH_696105003002","https://www.we-online.com/components/products/datasheet/696105003002.pdf","696105003002","710-696105003002 ","Fuse"
"F1A1","1","T250mA 250VAC","","","Excluded from board","",""," 0034.3111","693-0034.3111 ","Fuse"
"J1","1","120VAC","","","","TerminalBlock_Phoenix_JLC:PHOENIX_1731721","","1731721","651-1731721 ","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
